

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
1503B.OP7     STAGE 2 CALIBRATION 1503B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

        Actual 1503B.OP7|
 Year    Catch  MDL Cat | Compare
 ==== ======== ======== |========
2009   0.6835
2010   0.5918
2011   0.6544
2012   0.8629
2013   0.8629
2014   0.8629
2015   0.8629

EV SCALARS FOR STOCK        PSF
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   0.6153
1980   0.7717
1981   0.5876
1982   0.6404
1983   0.8454
1984   0.8389
1985   0.9414
1986   0.8608
1987   0.4796
1988   0.3375
1989   0.2422
1990   0.2864
1991   0.4845
1992   0.5461
1993   0.5016
1994   0.2852
1995   0.3348
1996   0.3670
1997   0.4271
1998   0.4481
1999   0.4260
2000   0.4210
2001   0.4775
2002   0.5632
2003   0.6474
2004   0.5029
2005   0.4116
2006   0.3982
2007   0.4342
2008   0.5079
2009   0.4884
2010   0.3578
2011   0.3726
2012   0.4690
2013   0.4690
2014   0.4690
2015   0.4690

EV SCALARS FOR STOCK        PSN
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   0.9356
1980   0.9964
1981   1.0172
1982   0.9363
1983   1.2698
1984   1.1590
1985   1.2096
1986   1.0299
1987   0.8170
1988   0.6583
1989   0.5351
1990   0.5052
1991   0.5079
1992   0.4552
1993   0.4876
1994   0.4861
1995   0.4513
1996   0.4437
1997   0.5231
1998   0.4761
1999   0.3944
2000   0.5688
2001   0.4116
2002   0.4400
2003   0.4626
2004   0.5359
2005   0.3217
2006   0.2597
2007   0.3024
2008   0.3260
2009   0.3638
2010   0.2369
2011   0.2004
2012   0.2071
2013   0.2071
2014   0.2071
2015   0.2071

EV SCALARS FOR STOCK        PSY
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   0.6153
1980   0.7717
1981   0.5876
1982   0.6404
1983   0.8454
1984   0.8389
1985   0.9414
1986   0.8608
1987   0.4796
1988   0.3375
1989   0.2422
1990   0.2864
1991   0.4845
1992   0.5461
1993   0.5016
1994   0.2852
1995   0.3348
1996   0.3670
1997   0.4271
1998   0.4481
1999   0.4260
2000   0.4210
2001   0.4775
2002   0.5632
2003   0.6474
2004   0.5029
2005   0.4116
2006   0.3982
2007   0.4342
2008   0.5079
2009   0.4884
2010   0.3578
2011   0.3726
2012   0.4690
2013   0.4690
2014   0.4690
2015   0.4690

EV SCALARS FOR STOCK        NKS
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   0.4889
1980   0.1179
1981   0.2290
1982   0.1908
1983   0.2067
1984   0.4378
1985   0.6149
1986   0.3090
1987   0.2070
1988   0.3364
1989   0.3087
1990   0.2157
1991   0.2185
1992   0.3700
1993   0.2827
1994   0.2802
1995   0.3726
1996   0.4735
1997   0.6152
1998   0.9782
1999   0.9649
2000   0.5498
2001   0.3102
2002   0.2167
2003   0.1660
2004   0.1753
2005   0.2369
2006   0.3074
2007   0.2538
2008   0.1939
2009   0.2008
2010   0.1841
2011   0.1622
2012   0.1844
2013   0.1844
2014   0.1844
2015   0.1844

EV SCALARS FOR STOCK        SKG
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   1.2719
1980   1.0217
1981   2.7587
1982   1.5265
1983   0.6872
1984   1.1989
1985   0.6787
1986   0.9040
1987   0.3889
1988   0.2977
1989   0.2367
1990   0.1683
1991   0.3440
1992   0.8284
1993   1.1677
1994   1.7187
1995   0.2961
1996   0.9473
1997   0.8188
1998   0.6752
1999   0.7442
2000   1.2387
2001   1.0685
2002   1.1367
2003   0.4882
2004   0.8426
2005   0.6153
2006   0.3361
2007   0.4231
2008   0.8171
2009   0.7800
2010   0.6595
2011   0.5221
2012   0.5221
2013   0.5221
2014   0.5221
2015   0.5221

EV SCALARS FOR STOCK        STL
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   0.5372
1980   0.5965
1981   1.3220
1982   1.3914
1983   1.5253
1984   0.9423
1985   0.5159
1986   0.4907
1987   0.7662
1988   0.6810
1989   0.5999
1990   0.5039
1991   0.4780
1992   0.7209
1993   0.8094
1994   0.8358
1995   0.7165
1996   0.6649
1997   0.6255
1998   0.5633
1999   0.4671
2000   0.5186
2001   0.5099
2002   0.5014
2003   0.4323
2004   0.5898
2005   0.5569
2006   0.4204
2007   0.4930
2008   0.5993
2009   0.4864
2010   0.3163
2011   0.2388
2012   0.2477
2013   0.2477
2014   0.2477
2015   0.2477

EV SCALARS FOR STOCK        SNO
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   0.8320
1980   0.7812
1981   0.7026
1982   0.5495
1983   0.5084
1984   0.5220
1985   0.4062
1986   0.3775
1987   0.2844
1988   0.2423
1989   0.3025
1990   0.2876
1991   0.3323
1992   0.2607
1993   0.2597
1994   0.3135
1995   0.2835
1996   0.3305
1997   0.3919
1998   0.3504
1999   0.3362
2000   0.4377
2001   0.3520
2002   0.3709
2003   0.3116
2004   0.3409
2005   0.2016
2006   0.1751
2007   0.1444
2008   0.2021
2009   0.1953
2010   0.1726
2011   0.2271
2012   0.2552
2013   0.2552
2014   0.2552
2015   0.2552

EV SCALARS FOR STOCK        WCH
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   0.7796
1980   0.9154
1981   0.9699
1982   1.1468
1983   2.3363
1984   1.2563
1985   1.7651
1986   1.6616
1987   0.6902
1988   0.5605
1989   0.6115
1990   0.7798
1991   0.6251
1992   0.5509
1993   0.3744
1994   0.2491
1995   0.2382
1996   0.3501
1997   0.2570
1998   0.5050
1999   0.5558
2000   0.6608
2001   0.5804
2002   0.5231
2003   0.4132
2004   0.3381
2005   0.4000
2006   0.4433
2007   0.4454
2008   0.4263
2009   0.3853
2010   0.4053
2011   0.4946
2012   0.5108
2013   0.5108
2014   0.5108
2015   0.5108

EV SCALARS FOR STOCK        URB
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   1.8849
1980   4.2608
1981   4.8013
1982   7.0064
1983   8.4847
1984   7.5026
1985   3.0703
1986   3.1037
1987   1.0760
1988   1.3375
1989   2.6076
1990   2.3861
1991   0.8674
1992   1.6942
1993   3.0698
1994   0.8764
1995   3.3453
1996   1.6628
1997   2.3398
1998   4.5539
1999   6.4582
2000   3.2290
2001   5.7462
2002   2.7391
2003   1.7991
2004   1.5850
2005   4.1298
2006   3.2934
2007   5.4337
2008   2.8198
2009   7.3500
2010  15.5834
2011   4.8535
2012   7.3958
2013   7.3958
2014   7.3958
2015   7.3958

EV SCALARS FOR STOCK        SPR
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   1.1759
1980   0.2967
1981   0.4670
1982   0.2706
1983   0.1493
1984   0.1306
1985   0.3273
1986   0.3889
1987   0.6501
1988   0.7105
1989   0.4548
1990   0.1402
1991   0.1017
1992   0.2070
1993   0.2999
1994   0.1513
1995   0.1500
1996   0.3314
1997   0.1452
1998   1.4966
1999   1.3026
2000   1.3122
2001   1.3062
2002   0.5505
2003   0.2199
2004   0.1025
2005   0.6661
2006   0.2139
2007   1.4313
2008   0.5342
2009   0.5440
2010   0.6998
2011   1.2407
2012   1.3641
2013   1.3641
2014   1.3641
2015   1.3641

EV SCALARS FOR STOCK        BON
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   0.2630
1980   0.2496
1981   0.2210
1982   0.2058
1983   0.3528
1984   0.8358
1985   0.1496
1986   0.1115
1987   0.0575
1988   0.1354
1989   0.1927
1990   0.2232
1991   0.0802
1992   0.0365
1993   0.1309
1994   0.1023
1995   0.1097
1996   0.0607
1997   0.1065
1998   0.4637
1999   0.6609
2000   0.3426
2001   0.0597
2002   0.0350
2003   0.0170
2004   0.0522
2005   0.1139
2006   0.1206
2007   0.2769
2008   0.1876
2009   0.4020
2010   0.1052
2011   0.2010
2012   0.1448
2013   0.1448
2014   0.1448
2015   0.1448

EV SCALARS FOR STOCK        CWF
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   3.1254
1980   2.3241
1981   2.1540
1982  10.8257
1983   7.4691
1984  33.8740
1985   3.9046
1986   1.7518
1987   1.1535
1988   1.1978
1989   1.1405
1990   0.8638
1991   0.9102
1992   1.9419
1993   6.3575
1994   1.2627
1995   1.0967
1996   1.0553
1997   0.9080
1998   3.3768
1999   5.7834
2000   3.0336
2001   3.3588
2002   2.3237
2003   0.9939
2004   1.3133
2005   2.6853
2006   2.1303
2007   4.9952
2008   2.4274
2009   3.0298
2010   3.8931
2011   2.4729
2012   2.4337
2013   2.4337
2014   2.4337
2015   2.4337

EV SCALARS FOR STOCK        LRW
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   3.5511
1980   3.5854
1981   2.1738
1982   1.6730
1983   2.8554
1984   3.8546
1985   1.9390
1986   1.7492
1987   2.4209
1988   4.3791
1989   2.2146
1990   2.1516
1991   0.9422
1992   0.9167
1993   0.7845
1994   0.1865
1995   0.2044
1996   0.6480
1997   1.0935
1998   1.7679
1999   1.9159
2000   0.7115
2001   1.7591
2002   0.6552
2003   0.2430
2004   0.5343
2005   0.6214
2006   0.5255
2007   1.1651
2008   0.8227
2009   0.9698
2010   2.4090
2011   1.1695
2012   2.9790
2013   2.9790
2014   2.9790
2015   2.9790

EV SCALARS FOR STOCK        WSH
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   1.2670
1980  12.2175
1981  12.1039
1982   8.5224
1983  11.3676
1984  14.7433
1985  17.7570
1986  15.3628
1987  18.9278
1988  13.5181
1989   9.4517
1990   7.4198
1991   7.1546
1992   4.9185
1993   4.0697
1994   5.9281
1995   6.0363
1996   6.4922
1997   8.6676
1998   8.3806
1999  20.3817
2000  13.9511
2001  15.9045
2002   5.3897
2003   9.1036
2004   2.6345
2005   4.1877
2006   6.1636
2007  13.9079
2008  10.2018
2009   7.5961
2010   5.6149
2011   6.8153
2012   6.2693
2013   6.2693
2014   6.2693
2015   6.2693

EV SCALARS FOR STOCK        CWS
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   0.6421
1980   1.8858
1981   1.5966
1982   0.8096
1983   1.1938
1984   2.1733
1985   1.5572
1986   1.1556
1987  44.0422
1988   1.0169
1989   1.4850
1990   0.9220
1991   0.4149
1992   0.1258
1993   0.2569
1994   0.1753
1995   0.1854
1996   0.2595
1997   0.4112
1998   0.2345
1999   1.1327
2000   1.3184
2001   1.3377
2002   0.9200
2003   1.6874
2004   0.4762
2005   0.2512
2006   0.4014
2007   0.6635
2008   0.3055
2009   0.7584
2010   0.4406
2011   0.7228
2012   0.9351
2013   0.9351
2014   0.9351
2015   0.9351

EV SCALARS FOR STOCK        SUM
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   0.4644
1980   0.5813
1981   0.5448
1982   0.6426
1983   0.6839
1984   0.5542
1985   0.4736
1986   0.4220
1987   0.2988
1988   0.2945
1989   0.3451
1990   0.3232
1991   0.3700
1992   0.3079
1993   0.5672
1994   0.3641
1995   0.4696
1996   0.7545
1997   1.5414
1998   1.8226
1999   1.5126
2000   1.2831
2001   1.7339
2002   2.0301
2003   1.4319
2004   1.1009
2005   1.3642
2006   2.1766
2007   1.4906
2008   1.5492
2009   1.5379
2010   1.9845
2011   2.3674
2012   2.5169
2013   2.5169
2014   2.5169
2015   2.5169

EV SCALARS FOR STOCK        ORC
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   1.2370
1980   1.5655
1981   1.8191
1982   1.4798
1983   1.5446
1984   1.5983
1985   1.0059
1986   1.1954
1987   1.0195
1988   1.2876
1989   0.7611
1990   1.4123
1991   0.4517
1992   1.0444
1993   0.5996
1994   0.6084
1995   0.6642
1996   0.3546
1997   1.0412
1998   1.0648
1999   1.8974
2000   1.4828
2001   1.1626
2002   1.1151
2003   0.4202
2004   0.2451
2005   0.3675
2006   0.5213
2007   0.7917
2008   0.8126
2009   1.0318
2010   0.9328
2011   0.5020
2012   0.2909
2013   0.2909
2014   0.2909
2015   0.2909

EV SCALARS FOR STOCK        WCN
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   0.8934
1980   0.9534
1981   1.1237
1982   1.2368
1983   1.6940
1984   1.5127
1985   1.7680
1986   1.4743
1987   1.1965
1988   1.1001
1989   1.0217
1990   0.9785
1991   0.8919
1992   0.7966
1993   0.8551
1994   0.6448
1995   0.4867
1996   0.3931
1997   0.4901
1998   0.5627
1999   0.7341
2000   0.8760
2001   0.9289
2002   0.6701
2003   0.5447
2004   0.4771
2005   0.4987
2006   0.5889
2007   0.6895
2008   0.6230
2009   0.6146
2010   0.6287
2011   0.8376
2012   1.1491
2013   1.1491
2014   1.1491
2015   1.1491

EV SCALARS FOR STOCK        LYF
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979   1.7700
1980   1.0252
1981   1.2778
1982   0.9577
1983   1.1141
1984   1.3547
1985   0.9670
1986   1.0946
1987   1.1291
1988   2.3078
1989   2.5474
1990   2.4480
1991   1.9369
1992   0.9854
1993   0.9501
1994   0.9755
1995   1.5928
1996   3.0009
1997   4.1426
1998   5.2110
1999   3.1297
2000   2.3704
2001   1.8960
2002   1.3252
2003   1.4163
2004   1.3176
2005   1.3561
2006   2.7012
2007   4.6829
2008   4.6517
2009   5.7761
2010   5.6401
2011   5.3595
2012   5.3595
2013   5.3595
2014   5.3595
2015   5.3595

EV SCALARS FOR STOCK        MCB
-------------------------------------------------

     1503B.OP7

Year  EV Sclr
====  ========
1979  25.3431
1980   1.1378
1981   0.1306
1982   0.2808
1983   0.6778
1984   1.5245
1985   1.1568
1986   0.4250
1987   0.0706
1988   0.1115
1989   0.1029
1990   0.1157
1991   0.0878
1992   0.1969
1993   0.3273
1994   0.1019
1995   0.2344
1996   0.1076
1997   0.2372
1998   0.5789
1999   0.8230
2000   0.3749
2001   0.4785
2002   0.3525
2003   0.2634
2004   0.3027
2005   0.4038
2006   0.2124
2007   0.5047
2008   0.2439
2009   0.7778
2010   1.3896
2011   0.3856
2012   0.4997
2013   0.4997
2014   0.4997
2015   0.4997


Stock EV Estimation Histories
*****************************
OPTION FILE   DESCRIPTION
===========   ==============================================
1503B.OP7     STAGE 2 CALIBRATION 1503B




EV SCALAR COMPARISONS FOR STOCK           AKS
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011
==================================================================================================================================================================================================================================================================================================================
  1   1.5648  2.7828  3.0873  3.9807  3.8078  3.0680  3.7802  2.9144  4.0622  4.7092  4.8484  1.8440  1.3506  1.4995  1.0636  1.7117  1.5077  1.9771  2.6581  1.3623  2.0591  1.5766  4.1074  3.3798  4.6948  1.5684  2.3002  2.2732  1.9781  1.0721  1.1675  1.0122  0.8636
  2   1.5618  2.7810  3.0853  3.9818  3.8081  3.0707  3.7852  2.9159  4.0573  4.7026  4.8349  1.8388  1.3477  1.4986  1.0636  1.7166  1.5122  1.9804  2.6626  1.3641  2.0618  1.5753  4.1024  3.3791  4.7020  1.5713  2.3127  2.2823  1.9840  1.0724  1.1673  1.0127  0.8643
  3   1.5611  2.7802  3.0851  3.9831  3.8092  3.0712  3.7867  2.9165  4.0570  4.7026  4.8383  1.8402  1.3490  1.5000  1.0649  1.7178  1.5128  1.9813  2.6632  1.3645  2.0624  1.5763  4.1037  3.3790  4.6999  1.5705  2.3096  2.2807  1.9837  1.0728  1.1681  1.0153  0.8664
  4   1.5611  2.7798  3.0849  3.9831  3.8093  3.0704  3.7857  2.9165  4.0576  4.7034  4.8409  1.8403  1.3485  1.4990  1.0641  1.7161  1.5117  1.9805  2.6627  1.3642  2.0618  1.5778  4.1071  3.3809  4.7012  1.5704  2.3066  2.2782  1.9819  1.0725  1.1683  1.0167  0.8678
  5   1.5613  2.7795  3.0847  3.9827  3.8089  3.0696  3.7847  2.9164  4.0586  4.7047  4.8428  1.8405  1.3483  1.4986  1.0638  1.7155  1.5113  1.9802  2.6625  1.3640  2.0616  1.5780  4.1080  3.3815  4.7014  1.5705  2.3075  2.2787  1.9822  1.0726  1.1679  1.0163  0.8679
  6   1.5615  2.7794  3.0846  3.9823  3.8086  3.0691  3.7840  2.9163  4.0591  4.7054  4.8433  1.8406  1.3482  1.4985  1.0638  1.7155  1.5113  1.9801  2.6622  1.3639  2.0614  1.5777  4.1080  3.3818  4.7013  1.5706  2.3085  2.2793  1.9825  1.0726  1.1676  1.0159  0.8679
  7   1.5617  2.7793  3.0844  3.9819  3.8083  3.0688  3.7835  2.9161  4.0592  4.7055  4.8429  1.8405  1.3482  1.4985  1.0638  1.7157  1.5113  1.9800  2.6620  1.3638  2.0613  1.5775  4.1078  3.3818  4.7011  1.5706  2.3091  2.2797  1.9827  1.0727  1.1675  1.0158  0.8679
  8   1.5618  2.7793  3.0843  3.9817  3.8082  3.0687  3.7833  2.9159  4.0590  4.7052  4.8423  1.8404  1.3482  1.4986  1.0638  1.7159  1.5114  1.9799  2.6619  1.3638  2.0613  1.5774  4.1076  3.3816  4.7008  1.5705  2.3093  2.2799  1.9829  1.0727  1.1675  1.0158  0.8679

EV SCALAR COMPARISONS FOR STOCK           NTH
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011
==================================================================================================================================================================================================================================================================================================================
  1   1.0534  1.1226  1.2861  1.3114  1.1825  1.1823  1.1789  1.0789  1.1116  1.2082  1.1426  1.0009  0.9298  1.1535  0.9782  0.8383  1.0717  1.2037  1.1916  0.9744  1.0995  1.1000  1.1550  1.4521  1.2747  1.1213  1.1194  0.9575  0.8328  0.8662  1.0068  0.8822  0.9944
  2   1.0498  1.1205  1.2820  1.3062  1.1778  1.1773  1.1743  1.0750  1.1081  1.2048  1.1397  0.9978  0.9270  1.1508  0.9769  0.8378  1.0712  1.2036  1.1928  0.9755  1.1015  1.1028  1.1596  1.4606  1.2826  1.1285  1.1272  0.9638  0.8394  0.8758  1.0209  0.8913  1.0087
  3   1.0490  1.1197  1.2808  1.3048  1.1771  1.1767  1.1737  1.0746  1.1080  1.2048  1.1398  0.9979  0.9273  1.1514  0.9774  0.8383  1.0721  1.2045  1.1933  0.9758  1.1018  1.1027  1.1587  1.4577  1.2797  1.1257  1.1238  0.9608  0.8358  0.8700  1.0114  0.8855  1.0035
  4   1.0490  1.1194  1.2804  1.3045  1.1771  1.1768  1.1735  1.0744  1.1077  1.2043  1.1391  0.9972  0.9266  1.1506  0.9768  0.8379  1.0711  1.2035  1.1924  0.9751  1.1006  1.1015  1.1573  1.4558  1.2780  1.1241  1.1221  0.9596  0.8349  0.8688  1.0106  0.8848  1.0042
  5   1.0492  1.1193  1.2804  1.3045  1.1772  1.1769  1.1734  1.0744  1.1075  1.2041  1.1388  0.9969  0.9263  1.1503  0.9766  0.8377  1.0709  1.2032  1.1922  0.9749  1.1004  1.1012  1.1570  1.4555  1.2778  1.1240  1.1222  0.9597  0.8350  0.8693  1.0114  0.8853  1.0055
  6   1.0495  1.1193  1.2804  1.3046  1.1773  1.1770  1.1734  1.0743  1.1075  1.2040  1.1387  0.9968  0.9262  1.1502  0.9765  0.8377  1.0708  1.2032  1.1921  0.9748  1.1003  1.1012  1.1570  1.4554  1.2777  1.1240  1.1222  0.9597  0.8350  0.8693  1.0113  0.8852  1.0057
  7   1.0496  1.1192  1.2804  1.3047  1.1774  1.1770  1.1734  1.0743  1.1074  1.2039  1.1387  0.9968  0.9262  1.1502  0.9765  0.8376  1.0709  1.2032  1.1921  0.9748  1.1003  1.1012  1.1569  1.4553  1.2777  1.1240  1.1222  0.9597  0.8350  0.8693  1.0112  0.8851  1.0057
  8   1.0497  1.1192  1.2804  1.3047  1.1774  1.1770  1.1734  1.0743  1.1074  1.2039  1.1386  0.9968  0.9262  1.1501  0.9764  0.8376  1.0709  1.2032  1.1921  0.9748  1.1003  1.1012  1.1569  1.4553  1.2777  1.1240  1.1222  0.9597  0.8351  0.8693  1.0112  0.8851  1.0057

EV SCALAR COMPARISONS FOR STOCK           FRE
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011
==================================================================================================================================================================================================================================================================================================================
  1   0.7522  1.1104  1.6467  1.7459  1.1046  0.9430  0.8347  0.7446  0.6714  0.6486  0.7987  0.7854  0.8417  0.9312  1.0986  0.8884  0.6138  0.5890  0.7914  0.9031  0.9663  0.8459  0.7809  0.8978  0.7241  0.7108  0.7617  0.9118  0.8093  0.5694  0.7117  0.8310  0.8910
  2   0.7505  1.1070  1.6395  1.7375  1.0997  0.9380  0.8296  0.7409  0.6683  0.6454  0.7925  0.7804  0.8365  0.9263  1.0920  0.8841  0.6120  0.5884  0.7896  0.9022  0.9657  0.8459  0.7812  0.8985  0.7247  0.7114  0.7624  0.9126  0.8102  0.5702  0.7134  0.8321  0.8921
  3   0.7498  1.1060  1.6376  1.7355  1.0990  0.9375  0.8293  0.7408  0.6685  0.6457  0.7935  0.7812  0.8375  0.9273  1.0941  0.8857  0.6127  0.5888  0.7907  0.9030  0.9665  0.8464  0.7815  0.8986  0.7248  0.7115  0.7624  0.9126  0.8101  0.5703  0.7144  0.8332  0.8928
  4   0.7496  1.1056  1.6372  1.7352  1.0991  0.9375  0.8294  0.7409  0.6684  0.6457  0.7936  0.7811  0.8373  0.9271  1.0939  0.8855  0.6127  0.5887  0.7906  0.9028  0.9663  0.8462  0.7813  0.8984  0.7246  0.7113  0.7622  0.9124  0.8098  0.5703  0.7151  0.8340  0.8933
  5   0.7495  1.1056  1.6372  1.7354  1.0992  0.9377  0.8295  0.7409  0.6684  0.6457  0.7936  0.7810  0.8372  0.9270  1.0938  0.8855  0.6126  0.5887  0.7905  0.9028  0.9662  0.8461  0.7812  0.8983  0.7245  0.7112  0.7621  0.9124  0.8098  0.5703  0.7156  0.8346  0.8937
  6   0.7494  1.1056  1.6373  1.7355  1.0993  0.9377  0.8295  0.7409  0.6684  0.6456  0.7936  0.7809  0.8371  0.9270  1.0938  0.8855  0.6126  0.5887  0.7905  0.9027  0.9662  0.8461  0.7812  0.8983  0.7245  0.7112  0.7621  0.9123  0.8097  0.5703  0.7158  0.8349  0.8939
  7   0.7494  1.1057  1.6374  1.7357  1.0994  0.9378  0.8296  0.7409  0.6684  0.6456  0.7935  0.7809  0.8371  0.9269  1.0938  0.8855  0.6126  0.5886  0.7905  0.9027  0.9662  0.8461  0.7812  0.8983  0.7245  0.7112  0.7621  0.9123  0.8097  0.5703  0.7160  0.8351  0.8941
  8   0.7494  1.1057  1.6375  1.7358  1.0994  0.9378  0.8296  0.7409  0.6684  0.6456  0.7935  0.7809  0.8371  0.9269  1.0938  0.8855  0.6126  0.5886  0.7905  0.9027  0.9661  0.8461  0.7812  0.8983  0.7245  0.7112  0.7621  0.9123  0.8097  0.5703  0.7160  0.8352  0.8941

EV SCALAR COMPARISONS FOR STOCK           FRL
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   4.7344  3.9438  5.5317  5.8267  2.0937  1.7167  0.8151  6.9717  1.3067  3.8683  2.6229  3.6632  0.4198  1.4455  1.2467  4.1382  0.8237  2.6633  1.1017  7.2925  5.6873  2.5783  2.1760  2.0410  4.5404  1.0804  2.8122  0.6000  4.9092  1.2755  1.0424  2.7026  5.0876  1.0030
  2   4.7257  3.9370  5.5185  5.8225  2.0901  1.7105  0.8152  6.9692  1.3002  3.8389  2.6060  3.6424  0.4176  1.4526  1.2486  4.1415  0.8232  2.6659  1.1013  7.2825  5.6864  2.5794  2.1798  2.0444  4.5421  1.0802  2.8149  0.6009  4.9178  1.2786  1.0507  2.6987  3.7147  0.8694
  3   4.7200  3.9331  5.5128  5.8225  2.0918  1.7119  0.8167  6.9811  1.3041  3.8535  2.6163  3.6468  0.4187  1.4483  1.2480  4.1423  0.8236  2.6661  1.1032  7.2940  5.6955  2.5826  2.1785  2.0426  4.5301  1.0810  2.8176  0.6020  4.9179  1.2787  1.0560  2.7191  3.0452  0.8027
  4   4.7164  3.9309  5.5093  5.8193  2.0912  1.7114  0.8166  6.9827  1.3030  3.8482  2.6127  3.6457  0.4185  1.4500  1.2480  4.1408  0.8235  2.6656  1.1027  7.3008  5.6937  2.5811  2.1775  2.0419  4.5366  1.0813  2.8168  0.6011  4.9149  1.2776  1.0582  2.7387  2.7171  0.7693
  5   4.7143  3.9297  5.5073  5.8165  2.0903  1.7105  0.8160  6.9802  1.3021  3.8449  2.6106  3.6468  0.4182  1.4497  1.2475  4.1396  0.8232  2.6647  1.1025  7.3036  5.6941  2.5808  2.1774  2.0416  4.5362  1.0811  2.8161  0.6011  4.9142  1.2772  1.0599  2.7525  2.5546  0.7528
  6   4.7131  3.9290  5.5062  5.8146  2.0896  1.7098  0.8154  6.9768  1.3016  3.8436  2.6096  3.6476  0.4180  1.4489  1.2471  4.1391  0.8230  2.6641  1.1023  7.3019  5.6934  2.5805  2.1781  2.0423  4.5382  1.0809  2.8153  0.6008  4.9142  1.2770  1.0608  2.7606  2.4739  0.7446
  7   4.7124  3.9286  5.5057  5.8135  2.0892  1.7094  0.8151  6.9741  1.3014  3.8434  2.6092  3.6477  0.4179  1.4482  1.2470  4.1390  0.8230  2.6639  1.1022  7.2992  5.6921  2.5802  2.1785  2.0429  4.5401  1.0809  2.8150  0.6007  4.9140  1.2767  1.0612  2.7653  2.4340  0.7405
  8   4.7120  3.9284  5.5055  5.8129  2.0889  1.7092  0.8148  6.9723  1.3013  3.8435  2.6091  3.6473  0.4179  1.4478  1.2469  4.1390  0.8230  2.6639  1.1021  7.2973  5.6911  2.5800  2.1785  2.0430  4.5405  1.0809  2.8150  0.6008  4.9136  1.2765  1.0614  2.7678  2.4142  0.7384

EV SCALAR COMPARISONS FOR STOCK           RBH
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   1.2259  0.9457  0.5219  0.5367  0.1121  0.8698  0.5719  1.3285  1.5721  1.4098  1.5629  0.9387  0.2015  0.0985  0.5345  0.8834  0.1964  0.1102  0.0595  0.3580  0.7537  0.4452  0.6720  0.4622  0.7001  0.1713  0.3409  0.2138  0.8980  0.3023  0.3694  0.8383  0.1324  0.5756
  2   1.2231  0.9438  0.5205  0.5354  0.1118  0.8677  0.5703  1.3249  1.5681  1.4056  1.5570  0.9350  0.2008  0.0983  0.5336  0.8824  0.1963  0.1102  0.0595  0.3581  0.7544  0.4457  0.6727  0.4630  0.7014  0.1716  0.3413  0.2141  0.8997  0.3029  0.3703  0.8393  0.1312  0.5711
